date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:02	853/853	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/robots.txt		(from )
11:29:02	31214/31214	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/index.html	(from )
11:29:03	31214/31214	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/index.html	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/index-2.html	(from https://temucarttool.web.app/)
11:29:03	315/315	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/assets/images/favicon.html	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/assets/images/favicon.html	(from https://temucarttool.web.app/)
11:29:03	105842/105842	---M-Z	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/social.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/social.png	(from https://temucarttool.web.app/)
11:29:03	1672/1672	---M-Z	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/1.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/1.png	(from https://temucarttool.web.app/)
11:29:03	144081/144081	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/css/bootstrap.css	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/css/bootstrap.css	(from https://temucarttool.web.app/)
11:29:04	11354/11354	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/css/style.css	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/css/style.css	(from https://temucarttool.web.app/)
11:29:04	1167/1167	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/css/bootstrap-switch.html	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/css/bootstrap-switch.html	(from https://temucarttool.web.app/)
11:29:04	31096/31096	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/css/font-awesome.min.css	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/css/font-awesome.min.css	(from https://temucarttool.web.app/)
11:29:04	2722/2722	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/css/chat.css	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/css/chat.css	(from https://temucarttool.web.app/)
11:29:05	13547/13547	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/css/fbcm.css	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/css/fbcm.css	(from https://temucarttool.web.app/)
11:29:05	26922/26922	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d4bf449a445ba3f51ddbb265bb20a66%22	https://d9cshxmf0qazr.cloudfront.net/2bddf99.js	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/d9cshxmf0qazr.cloudfront.net/2bddf99.js	(from https://temucarttool.web.app/)
11:29:06	241/241	---M-Z	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/box-bg.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/box-bg.png	(from https://temucarttool.web.app/)
11:29:06	1077/1077	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/2.html	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/2.html	(from https://temucarttool.web.app/)
11:29:06	3675/3675	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/money.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/money.png	(from https://temucarttool.web.app/)
11:29:07	2010/2010	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/user.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/user.png	(from https://temucarttool.web.app/)
11:29:07	5051/5051	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/verify.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/verify.png	(from https://temucarttool.web.app/)
11:29:07	28873/28873	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/PayPal-Proof.jpg	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/PayPal-Proof.jpg	(from https://temucarttool.web.app/)
11:29:08	1737/1737	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-2.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-2.png	(from https://temucarttool.web.app/)
11:29:08	1778/1778	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-3.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-3.png	(from https://temucarttool.web.app/)
11:29:08	1628/1628	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-4.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-4.png	(from https://temucarttool.web.app/)
11:29:08	1591/1591	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-5.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-5.png	(from https://temucarttool.web.app/)
11:29:09	1531/1531	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-1.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-1.png	(from https://temucarttool.web.app/)
11:29:09	381/381	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-default.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-default.png	(from https://temucarttool.web.app/)
11:29:10	1626/1626	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-7.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-7.png	(from https://temucarttool.web.app/)
11:29:10	1713/1713	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-8.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-8.png	(from https://temucarttool.web.app/)
11:29:10	1629/1629	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-9.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-9.png	(from https://temucarttool.web.app/)
11:29:10	1704/1704	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-10.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-10.png	(from https://temucarttool.web.app/)
11:29:10	1727/1727	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/img/fb/avatar-11.png	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/img/fb/avatar-11.png	(from https://temucarttool.web.app/)
11:29:11	97244/97244	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/jquery.min.js	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/jquery.min.js	(from https://temucarttool.web.app/)
11:29:11	83663/83663	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/js/bootstrap.min.js	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/js/bootstrap.min.js	(from https://temucarttool.web.app/)
11:29:11	29261/29261	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/js/bootstrap-switch.min.js	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/js/bootstrap-switch.min.js	(from https://temucarttool.web.app/)
11:29:12	8635/8635	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/js/functions.app.js	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/js/functions.app.js	(from https://temucarttool.web.app/)
11:29:12	67335/67335	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/js/main.js	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/js/main.js	(from https://temucarttool.web.app/)
11:29:13	1089/1089	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Oct%202023%2013:39:32%20GMT	https://temucarttool.web.app/js/chat.html	C:/Users/vPro/OneDrive/Bureau/eBay/CPA/Clone%20LP/Temu%20LP/Temu_LP/temucarttool.web.app/js/chat.html	(from https://temucarttool.web.app/)
